_id,person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
673ec4568fe596bfedd7a1d1,21.0,female,Associate,32193.0,1,RENT,6000.0,DEBTCONSOLIDATION,7.49,0.19,2.0,660,No,0
673ec4568fe596bfedd7b682,29.0,male,High School,62443.0,8,RENT,6000.0,MEDICAL,7.29,0.1,10.0,581,No,0
673ec4568fe596bfedd7c86c,28.0,male,High School,102984.0,8,RENT,14000.0,PERSONAL,14.65,0.14,9.0,577,Yes,0
673ec4558fe596bfedd79015,25.0,male,Associate,85860.0,6,MORTGAGE,2400.0,DEBTCONSOLIDATION,17.04,0.03,3.0,493,No,1
673ec4568fe596bfedd7d60d,39.0,female,High School,41894.0,19,RENT,4000.0,MEDICAL,11.01,0.1,13.0,679,No,1
673ec4558fe596bfedd76f78,26.0,female,Associate,66957.0,7,RENT,10250.0,HOMEIMPROVEMENT,7.29,0.15,2.0,660,Yes,0
673ec4558fe596bfedd77848,22.0,male,Master,28700.0,1,RENT,5500.0,PERSONAL,5.79,0.19,3.0,668,Yes,0
673ec4558fe596bfedd78fbc,25.0,female,High School,92027.0,4,MORTGAGE,6000.0,PERSONAL,12.98,0.07,2.0,635,Yes,0
673ec4568fe596bfedd7bd97,34.0,female,Master,77697.0,10,MORTGAGE,7200.0,MEDICAL,7.29,0.09,7.0,705,No,0
673ec4568fe596bfedd7c0ec,30.0,male,Master,87961.0,10,MORTGAGE,12000.0,VENTURE,7.88,0.14,8.0,586,Yes,0
673ec4568fe596bfedd7c458,31.0,female,Bachelor,73142.0,8,RENT,12000.0,MEDICAL,7.49,0.16,9.0,622,No,0
673ec4558fe596bfedd76d2f,24.0,male,High School,42973.0,2,MORTGAGE,7775.0,MEDICAL,11.01,0.18,2.0,621,Yes,0
